date,code,open,close,amount
2022-07-29,sh.601330,7.8300,8.0300,1567479946.4700
2022-07-29,sh.601333,2.1800,2.0700,1699248793.7000
2022-07-29,sh.601336,32.1900,29.0000,3651762695.1900
2022-07-29,sh.601339,5.0700,5.5900,1828781562.7800
2022-07-29,sh.601360,8.5000,7.3900,6675588715.6200
2022-07-29,sh.601366,6.2400,6.0200,239265422.0000
2022-07-29,sh.601368,6.0300,6.1200,1851412399.6200
2022-07-29,sh.601369,9.5500,13.2100,7172817946.1300
2022-07-29,sh.601375,4.2000,3.8900,2135269162.1000
2022-07-29,sh.601377,7.0600,6.4600,6385128757.3100
2022-07-29,sh.601388,3.4900,4.4900,6259829331.4500
2022-07-29,sh.601390,6.1900,5.7800,14907861765.7600
2022-07-29,sh.601398,4.7700,4.3800,18043280383.3700
2022-07-29,sh.601399,3.2400,3.4700,1407953441.8200
2022-07-29,sh.601456,12.1600,10.6500,8993855816.9100
2022-07-29,sh.601500,4.4900,3.8100,658936793.3100
2022-07-29,sh.601512,9.0300,8.6100,433086536.8900
2022-07-29,sh.601515,4.6300,4.4300,1019382698.5400
2022-07-29,sh.601518,2.6700,2.9200,2166736181.2200
2022-07-29,sh.601519,6.4100,6.0300,1492059019.4900
2022-07-29,sh.601528,8.0600,7.4200,1287773571.8900
2022-07-29,sh.601555,6.9200,6.6000,2787576277.7800
2022-07-29,sh.601566,8.4500,8.3100,325371697.5600
2022-07-29,sh.601567,13.1100,12.4900,5269204609.7200
2022-07-29,sh.601568,6.3500,6.0800,704113644.6500
2022-07-29,sh.601577,7.9100,7.4000,1398998928.2100
2022-07-29,sh.601579,12.6100,11.5400,2794376097.1400
2022-07-29,sh.601588,2.3400,2.1900,908940518.2800
2022-07-29,sh.601595,11.2200,9.8600,775631648.8500
2022-07-29,sh.601598,3.8700,3.7700,1530136996.9300
2022-07-29,sh.601599,3.6900,3.5100,2026493628.6100
2022-07-29,sh.601600,4.7100,4.6700,11845597191.2000
2022-07-29,sh.601601,23.6500,20.1900,8449406269.2300
2022-07-29,sh.601606,11.6600,12.1600,3766819797.0300
2022-07-29,sh.601607,18.0400,17.1800,7289467396.9700
2022-07-29,sh.601608,3.7900,4.1500,6256914481.3500
2022-07-29,sh.601609,7.4900,8.1300,1682165349.3800
2022-07-29,sh.601611,8.3900,8.3100,2690226170.8300
2022-07-29,sh.601615,33.4600,29.9000,47102566212.9000
2022-07-29,sh.601616,3.2500,3.5600,935204574.7900
2022-07-29,sh.601618,3.5000,3.2600,4985717651.4400
2022-07-29,sh.601619,4.1000,4.7200,3227969317.9100
2022-07-29,sh.601628,31.1700,27.8700,5683210578.4000
2022-07-29,sh.601633,37.0500,34.4700,28038991119.8800
2022-07-29,sh.601636,12.4000,11.4500,10221232398.1100
2022-07-29,sh.601658,5.3900,4.6900,12722979753.7200
2022-07-29,sh.601665,4.8800,4.4200,2013865031.7700
2022-07-29,sh.601666,13.4000,11.9600,10525413747.6200
2022-07-29,sh.601668,5.3600,5.0400,22837901632.5600
2022-07-29,sh.601669,7.8800,7.2500,21514954073.6300
2022-07-29,sh.601677,23.7900,28.9400,10504601889.1500
2022-07-29,sh.601678,5.9600,5.7400,2297137435.4300
2022-07-29,sh.601686,7.6700,7.3700,421954703.3800
2022-07-29,sh.601688,14.1600,13.2600,10619043240.7600
2022-07-29,sh.601689,68.1300,91.9200,19213649068.6000
2022-07-29,sh.601696,13.3600,12.5800,9362016941.1000
2022-07-29,sh.601698,11.3900,11.1800,1306102093.4400
2022-07-29,sh.601699,14.4100,13.7700,11591418458.7500
2022-07-29,sh.601700,5.1200,6.7000,2862525846.4700
2022-07-29,sh.601702,13.0300,19.7300,7666241107.9000
2022-07-29,sh.601717,14.4000,16.7700,11841852780.7700
2022-07-29,sh.601718,3.1100,3.4500,7290753562.6300
2022-07-29,sh.601727,4.1100,4.4500,9596842765.9500
2022-07-29,sh.601728,3.7200,3.7100,3228043505.1500
2022-07-29,sh.601766,5.2000,5.1500,3214825058.5400
2022-07-29,sh.601777,5.4700,5.1600,2189074677.5900
2022-07-29,sh.601778,5.4200,5.8000,10016472260.5200
2022-07-29,sh.601788,15.8100,15.1600,29847139429.3600
2022-07-29,sh.601789,5.7900,5.1400,5591907108.3900
2022-07-29,sh.601798,6.6800,7.3900,805239485.3400
2022-07-29,sh.601799,166.2000,175.6000,6097701179.1500
2022-07-29,sh.601800,9.3300,8.1100,10668907137.9300
2022-07-29,sh.601801,4.8400,4.8100,491414441.2600
2022-07-29,sh.601808,13.8000,13.2200,1477872169.8500
2022-07-29,sh.601811,9.1100,9.1300,331928192.5800
2022-07-29,sh.601816,5.0200,4.6500,3993740988.6600
2022-07-29,sh.601818,3.0200,2.9000,3632029516.3300
2022-07-29,sh.601825,6.2800,6.2600,1011940901.6200
2022-07-29,sh.601827,7.1200,7.2300,957576554.1100
2022-07-29,sh.601828,6.0100,5.1400,3741759954.3500
2022-07-29,sh.601838,16.5800,15.4100,6482592375.8400
2022-07-29,sh.601857,5.2600,5.2000,12152576576.4500
